product_uniqueId,product_id,product_name,product_category,product_description,directions,price,in_stock,image_filename
1,P001,Red Glossy Lipstik,Face,Load your lips with long lasting and impeccable red colour to fulfill your makeup requirements.,"HOW TO USE:

1. Exfoliate your lips.
2. Line your lips with the CCUK Lip definer, then fill them in.
3. Blot your lips for an extra-matte finish.
*Please note that actual colours may vary slightly.","2,500.00",150,RedGlossyLipstikF.png
2,P002,Red Glossy Lipstik,Lipstick,Load your lips with long lasting and impeccable red colour to fulfill your makeup requirements.,"HOW TO USE:

1. Exfoliate your lips.
2. Line your lips with the CCUK Lip definer, then fill them in.
3. Blot your lips for an extra-matte finish.
*Please note that actual colours may vary slightly.","2,500.00",150,RedGlossyLipstikLS.png
3,P003,Red Glossy Lipstik,Lips,Load your lips with long lasting and impeccable red colour to fulfill your makeup requirements.,"HOW TO USE:

1. Exfoliate your lips.
2. Line your lips with the CCUK Lip definer, then fill them in.
3. Blot your lips for an extra-matte finish.
*Please note that actual colours may vary slightly.","2,500.00",150,RedGlossyLipstikL.png
4,P004,Wine Lip Liner,Face,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1200,75,WineLipLinerF.png
5,P005,Wine Lip Liner,Lip Liner,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1200,75,WineLipLinerLL.webp
6,P006,Wine Lip Liner,Lips,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1200,75,WineLipLinerL.jpg
7,P004,Damson Lip Liner,Face,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1400,150,DamsonLipLinerF.png
8,P005,Damson Lip Liner,Lip Liner,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1400,150,DamsonLipLinerLL.jpeg
9,P006,Damson Lip Liner,Lips,"Defines and creates a neat lip outline resulting on full, bold lips.","HOW TO USE:

Prime and line lips with lip liner.
Fill in to wear alone, or apply lipstick to complete the look.
For an even bolder look, fill in and apply Colour Lipstick on top",1400,150,DamsonLipLinerL.png
10,P0010,Glow - Day Creame,Moisturiser,Keeps your skin from being damaged while you go through your everyday tasks,"HOW TO USE:

Cleanse area to apply and apply cream",3250,225,GlowDayCreamM.png
11,P0011,Glow - Day Creame,Skin,Keeps your skin from being damaged while you go through your everyday tasks,"HOW TO USE:

Cleanse area to apply and apply cream",3250,225,GlowDayCreamS.png
12,P0012,Glow - Day Creame,Body,Keeps your skin from being damaged while you go through your everyday tasks,"HOW TO USE:

Cleanse area to apply and apply cream",3250,225,GlowDayCreamB.png
13,P0013,Glow - Day Creame,Face,Keeps your skin from being damaged while you go through your everyday tasks,"HOW TO USE:

Cleanse area to apply and apply cream",3250,225,GlowDayCreamF.png
14,P0014,Radient - Night Creame,Moisturiser,Rejuvinates your skin while you rest and sleep at night,"HOW TO USE:

Cleanse area to apply and apply cream",3000,160,RadientNightCreamM.png
15,P0015,Radient - Night Creame,Skin,Rejuvinates your skin while you rest and sleep at night,"HOW TO USE:

Cleanse area to apply and apply cream",3000,160,RadientNightCreamS.png
16,P0016,Radient - Night Creame,Body,Rejuvinates your skin while you rest and sleep at night,"HOW TO USE:

Cleanse area to apply and apply cream",3000,160,RadientNightCreamB.png
17,P0017,Radient - Night Creame,Face,Rejuvinates your skin while you rest and sleep at night,"HOW TO USE:

Cleanse area to apply and apply cream",3000,160,RadientNightCreamF.png
18,P0018,Tea Tree Facewash,Skin,Cleans the dirt and oil from your face and gives a bright healthy look,"HOW TO USE:

Cleanse area to apply and apply cream",1350,500,TeaTreeFacewashS.png
19,P0019,Tea Tree Facewash,Face,Cleans the dirt and oil from your face and gives a bright healthy look,"HOW TO USE:

Cleanse area to apply and apply cream",1350,500,TeaTreeFacewashF.png
20,P0020,Tea Tree Facewash,Facewash,Cleans the dirt and oil from your face and gives a bright healthy look,"HOW TO USE:

Wash face with clean water and apply product on face. Finally rinse with clean water",1350,500,TeaTreeFacewashFW.png
21,P0021,Kohomba Facewash,Skin,For pimple prone skin. Fights germs and cleans your face,"HOW TO USE:

Wash face with clean water and apply product on face. Finally rinse with clean water",1550,500,KohombaFacewashS.png
22,P0022,Kohomba Facewash,Face,For pimple prone skin. Fights germs and cleans your face,"HOW TO USE:

Wash face with clean water and apply product on face. Finally rinse with clean water",1550,500,KohombaFacewashF.png
23,P0023,Kohomba Facewash,Facewash,For pimple prone skin. Fights germs and cleans your face,"HOW TO USE:

Wash face with clean water and apply product on face. Finally rinse with clean water",1550,500,KohombaFacewashFW.png
24,P0024,Aloe Facewash,Skin,Removes dead skin and effective on dry skin types,"HOW TO USE:

Wash face with clean water and apply product on face. Finally rinse with clean water",1200,500,AloeFacewashS.png
25,P0025,Aloe Facewash,Face,Removes dead skin and effective on dry skin types,"HOW TO USE:

Wash face with clean water and apply product on face. Finally rinse with clean water",1200,500,AloeFacewashF.png
26,P0026,Aloe Facewash,Facewash,Removes dead skin and effective on dry skin types,"HOW TO USE:

Wash face with clean water and apply product on face. Finally rinse with clean water",1200,500,AloeFacewashFW.png
27,P0027,Tumeric Handwash,Skin,Effectifly removes dirt and germs from skin,Wash hands using one or two drops of the handwash whenever needed.,600,150,TumericHandwashS.png
28,P0028,Tumeric Handwash,Hand,Effectifly removes dirt and germs from skin,Wash hands using one or two drops of the handwash whenever needed.,600,150,TumericHandwashH.png
29,P0029,Jasmin Bodywash,Skin,Makes you feel like you are in a field of jasmin. Feeling fresh and amazing,Wash body with clean water and apply. Finally rinse with clean water,1450,340,JasminBodywashS.png
30,P0030,Jasmin Bodywash,Body,Makes you feel like you are in a field of jasmin. Feeling fresh and amazing,Wash body with clean water and apply. Finally rinse with clean water,1450,340,JasminBodywashB.png
31,P0031,Mint Bodywash,Skin,Feel mint freshness all through your body and take the day with mint filled energy,Wash body with clean water and apply. Finally rinse with clean water,1550,200,MintBodywashS.png
32,P0032,Mint Bodywash,Body,Feel mint freshness all through your body and take the day with mint filled energy,Wash body with clean water and apply. Finally rinse with clean water,1550,200,MintBodywashB.png
33,P0033,Hair Repair Conditioner,Hair,Repair your damaged and dry hair with this amazing solution,Wash hair with clean water and apply product. Rinse with clean cold water,1499,320,HairRepairConditionerH.png
34,P0034,Hair Repair Shampoo,Hair,Repair your damaged and dry hair with this amazing solution,Wash hair with clean water and apply product. Rinse with clean cold water,1899,310,HairRepairShampooH.png
